Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Arnold Press,Dumbbells,Weight,Arms,"Bicep,Shoulders",giphy-2.gif (https://dl.airtable.com/.attachments/a33e8d05ec4484e25760fcedaec936e9/34a09ea8/giphy-2.gif),,
Bicep Curl,"Bar,Dumbbells,Cable","Weight,Machine",Arms,Bicep,3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif (https://dl.airtable.com/.attachments/417695b204dd32b815da35bed30e2242/915aa8a0/3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif),Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,
Bicycle Crunch,Body Weight,Weight,Core,,200.gif (https://dl.airtable.com/.attachments/8737f5f5bfcf7df8f61dd89e7477a488/57ee3db9/200.gif),"The lower the ""straight"" leg is to the ground the more challenging this exercise is. ","Easier: Move Slower, Legs higher in the air
Harder: Keep shoulder blades off the ground entire time"
Bounds,Body Weight,"Cardio,Laps","Full Body,Legs","Outer Thigh,Glutes",1ea07303-2e87-4876-8e68-8944edd42173.gif (https://dl.airtable.com/.attachments/c87d13d91201a25cc6e3eae2b46f7c43/f5ed65eb/1ea07303-2e87-4876-8e68-8944edd42173.gif),Do laps across the room of these.,"Easier: Don't jump as high/far
Harder: Touch the ground with your opposite hand after each jump"
Box Jumps,Body Weight,Plyo,Full Body,,giphy.gif (https://dl.airtable.com/.attachments/751a7efb9745ce3c1a394d4321226bd2/99247b37/giphy.gif),"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up
Harder: Jump Faster and higher boxes"
Box Toe Touch,Platform,Cardio,Legs,Glutes,workoutanniversarygif9570.gif (https://dl.airtable.com/.attachments/2eb8048f5ccfe166b41c747d9ef6076e/2cb5c339/workoutanniversarygif9570.gif),,"Easier: Don't use a box, just practice toe touch without
Harder: Increase Speed"
Broad Jump,Body Weight,"Plyo,Laps,Cardio",Legs,Glutes,Broad-Jumps-180-Degree-Twist.gif (https://dl.airtable.com/.attachments/399c4277c59d2ebd68e867340a1b0803/81f7b617/Broad-Jumps-180-Degree-Twist.gif),"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo",
Bulgarian Split Squat,"Bar,Dumbbells",Weight,Legs,"Hamstrings,Quads",erin_stern_demonstrates_bulgarian_split_squat.gif (https://dl.airtable.com/.attachments/19083f418e137aec7be40b9ed2b26de8/0d03d2e3/erin_stern_demonstrates_bulgarian_split_squat.gif),Use Single 30LB Dumbbell or an Olympic Bar,
Burpee,"Body Weight,Bosu Ball",Plyo,Full Body,,Burpee.gif (https://dl.airtable.com/.attachments/40ec21c7c3e6a9970e9f874aa3e9b9ae/c5bbaaa0/Burpee.gif),"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup
Harder: Speed"
Burpee Broad Jump,Body Weight,"Plyo,Laps",Full Body,,BurpeeBroadJump-1.gif (https://dl.airtable.com/.attachments/a0cec677e22a1b95f25e9240bc298082/ee886e9f/BurpeeBroadJump-1.gif),Do laps of these across the room if you have the space.,
Butt Kickers,Body Weight,Cardio,Legs,Glutes,1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif (https://dl.airtable.com/.attachments/232d5aa20cb9da4a09f73f9fc524c756/95a67c01/1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif),"Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster"
Calf Raise,"Dumbbells,Machine",Weight,Legs,Calves,Calf-Raises-Basic.jpg (https://dl.airtable.com/.attachments/d558f44f4fce7d105b3e8d1c39886d44/0f414503/Calf-Raises-Basic.jpg),"Play around with foot placement, some gyms also have machines for this",
